Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,¦Ó,DL,G,L,Ni3Al_fraction,creep_life
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,871,552,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,64.2
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,64.7
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,64.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,53.4544846,1.35281E-20,67.78173262,0.351800916,0.74472,65.4
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,2,4,16,1265,1079,899,982,179.4,38.58970952,6.37274E-21,68.57018427,0.348273768,0.59088,65.6
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,48.96918759,2.20732E-20,67.60921809,0.351901854,0.66733,66.4
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,871,552,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,66.7
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,50.01624446,2.50777E-20,68.07947796,0.352686315,0.66387,67.1
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.02155173,1.71394E-20,67.92980134,0.352299882,0.74185,68
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,68.5
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,982,276,47.363008,2.22197E-20,67.82646358,0.350783676,0.6679,68.9
